1,ka,200653,https://hilo.hawaii.edu/wehe/?q=ka
2,i,164292,https://hilo.hawaii.edu/wehe/?q=i
3,o,156797,https://hilo.hawaii.edu/wehe/?q=o
4,a,130615,https://hilo.hawaii.edu/wehe/?q=a
5,e,105195,https://hilo.hawaii.edu/wehe/?q=e
6,na,89507,https://hilo.hawaii.edu/wehe/?q=na
7,ke,81733,https://hilo.hawaii.edu/wehe/?q=ke
8,ia,72010,https://hilo.hawaii.edu/wehe/?q=ia
9,no,70402,https://hilo.hawaii.edu/wehe/?q=no
10,ana,58730,https://hilo.hawaii.edu/wehe/?q=ana
11,mai,56378,https://hilo.hawaii.edu/wehe/?q=mai
12,me,54687,https://hilo.hawaii.edu/wehe/?q=me
13,la,50216,https://hilo.hawaii.edu/wehe/?q=la
14,ua,47769,https://hilo.hawaii.edu/wehe/?q=ua
15,aku,40908,https://hilo.hawaii.edu/wehe/?q=aku
16,ma,39636,https://hilo.hawaii.edu/wehe/?q=ma
17,he,37406,https://hilo.hawaii.edu/wehe/?q=he
18,mea,34062,https://hilo.hawaii.edu/wehe/?q=mea
19,ai,28386,https://hilo.hawaii.edu/wehe/?q=ai
20,keia,27642,https://hilo.hawaii.edu/wehe/?q=keia
21,mau,26431,https://hilo.hawaii.edu/wehe/?q=mau
22,nei,26025,https://hilo.hawaii.edu/wehe/?q=nei
23,hoi,25263,https://hilo.hawaii.edu/wehe/?q=hoi
24,lakou,21882,https://hilo.hawaii.edu/wehe/?q=lakou
25,kona,21584,https://hilo.hawaii.edu/wehe/?q=kona
26,ko,20060,https://hilo.hawaii.edu/wehe/?q=ko
27,ae,19505,https://hilo.hawaii.edu/wehe/?q=ae
28,kekahi,17969,https://hilo.hawaii.edu/wehe/?q=kekahi
29,aole,17308,https://hilo.hawaii.edu/wehe/?q=aole
30,iho,17027,https://hilo.hawaii.edu/wehe/?q=iho
31,pau,16549,https://hilo.hawaii.edu/wehe/?q=pau
32,nui,16439,https://hilo.hawaii.edu/wehe/?q=nui
33,oia,16296,https://hilo.hawaii.edu/wehe/?q=oia
34,loa,14669,https://hilo.hawaii.edu/wehe/?q=loa
35,hana,14204,https://hilo.hawaii.edu/wehe/?q=hana
